Questions,Category,text,label
Can you recommend a suitable strategy for this project?,BT5,can you recommend a suitable strategy for this project?,4
State following statements are True of False.,BT1,state following statements are true of false.,0
Explain in detail distortion in delta Modulation.,BT1,explain in detail distortion in delta modulation.,0
What modifications would you make to a weather app to enhance accuracy?,BT6,what modifications would you make to a weather app to enhance accuracy?,5
Obtain Z-parameters of two-port network for the given network in the Fig. 8.,BT3,obtain z-parameters of two-port network for the given network in the fig. 8.,2
Design a practical integrator with input signal of 2VPP and cutoff frequency of 2.5 kHz. for DC voltage gain to 10.,BT3,design a practical integrator with input signal of 2vpp and cutoff frequency of 2.5 khz. for dc voltage gain to 10.,2
"Briefly describe the properties of wood in terms of density, thermal insulation, chemical resistance and strength. ",BT2,"briefly describe the properties of wood in terms of density, thermal insulation, chemical resistance and strength.",1
"Evaluate the performance of different dimensionality reduction techniques (e.g., PCA, t-SNE, LDA) in visualizing high-dimensional data and preserving important information.",BT4,"evaluate the performance of different dimensionality reduction techniques (e.g., pca, t-sne, lda) in visualizing high-dimensional data and preserving important information.",3
Draw Production Possibilities Frontier and Trading Possibilities Frontier for China and Thailand. Clearly label the total output before specialization and total output after trade in the diagrams.,BT2,draw production possibilities frontier and trading possibilities frontier for china and thailand. clearly label the total output before specialization and total output after trade in the diagrams.,1
Evaluate ï¨ï©2. sxiy j z k d sï«ï« ïï²ï²  Where S is the surface of cylinder 224 xyï«ï½ bounded by planes z = 0 and z = 2.,BT3,evaluate ï¨ï©2. sxiy j z k d sï«ï« ïï²ï²  where s is the surface of cylinder 224 xyï«ï½ bounded by planes z = 0 and z = 2.,2
Describe the significance of a matched filter in signal processing?,BT1,describe the significance of a matched filter in signal processing?,0
State the SIX categories in soil taxonomy. ,BT1,state the six categories in soil taxonomy.,0
Highlight the important issues discussed in Greenbury Report 1995. ,BT2,highlight the important issues discussed in greenbury report 1995.,1
Explain in detail classification of hydraulic pump.,BT1,explain in detail classification of hydraulic pump.,0
"Can you define the term ""cultural diversity""?",BT1,can you define the term cultural diversity?,0
"Describe the purpose of the ""this"" pointer in C++?",BT1,describe the purpose of the this pointer in c++?,0
Can you invent another character for the story?,BT6,can you invent another character for the story?,5
Discuss the advantages of real-time data input and over batch processing in expenditure cycle. ,BT2,discuss the advantages of real-time data input and over batch processing in expenditure cycle.,1
Contrast the features of Android and iOS operating systems.,BT2,contrast the features of android and ios operating systems.,1
Explain the concept of Graph coloring.,BT2,explain the concept of graph coloring.,1
Explain RIP message format in detail.,BT4,explain rip message format in detail.,3
List properties of light.,BT3,list properties of light.,2
"Discuss the principles of identity and access management (IAM) systems, explaining their role in controlling user access to resources.",BT2,"discuss the principles of identity and access management (iam) systems, explaining their role in controlling user access to resources.",1
Solve a chemistry problem involving calculating the concentration of a solution.,BT3,solve a chemistry problem involving calculating the concentration of a solution.,2
Derive the torque equation for the three-phase induction motor?,BT4,derive the torque equation for the three-phase induction motor?,3
Elaborate FOUR (4) advantages of using Web 2.0 and 3.0 in teaching and learning. ,BT2,elaborate four (4) advantages of using web 2.0 and 3.0 in teaching and learning.,1
"Discuss the adoption issues surrounding Facebook and internet, as well as their implications for e-marketers. ",BT2,"discuss the adoption issues surrounding facebook and internet, as well as their implications for e-marketers.",1
"Draw the ""onion model that represents Schein's Model of Organizational Culture. ",BT2,draw the onion model that represents schein's model of organizational culture.,1
"Illustrate with a drawing the biochemical pathway for natural rubber biosynthesis, beginning with acetyl CoA. ",BT2,"illustrate with a drawing the biochemical pathway for natural rubber biosynthesis, beginning with acetyl coa.",1
Complete an analogy (analogy tasks are inference tasks),BT2,complete an analogy (analogy tasks are inference tasks),1
State the main missions of National Center for Biotechnology Information (NCBI). ,BT1,state the main missions of national center for biotechnology information (ncbi).,0
Choose a documentary to recommend for educational purposes.,BT5,choose a documentary to recommend for educational purposes.,4
Write short note on external sort.,BT1,write short note on external sort.,0
What are the various data operands on which instruction operates?,BT1,what are the various data operands on which instruction operates?,0
Discuss FOUR (4) risks involved in trading US-dollar denominated crude palm oil futures contract (FUPO). ,BT2,discuss four (4) risks involved in trading us-dollar denominated crude palm oil futures contract (fupo).,1
Explain Linux thread management in detail.,BT1,explain linux thread management in detail.,0
"Contrast the characteristics of symmetric and asymmetric encryption algorithms, discussing their suitability for encrypting data at rest and in transit.",BT4,"contrast the characteristics of symmetric and asymmetric encryption algorithms, discussing their suitability for encrypting data at rest and in transit.",3
Compare fire resisting properties of concrete and stone.,BT4,compare fire resisting properties of concrete and stone.,3
Predict the effects of excess application of nitrogen fertilizer into the soil. ,BT2,predict the effects of excess application of nitrogen fertilizer into the soil.,1
Describe the principles of market economy and supply-demand dynamics.,BT1,describe the principles of market economy and supply-demand dynamics.,0
Can you identify the cause-and-effect relationships in a complex ecological system?,BT4,can you identify the cause-and-effect relationships in a complex ecological system?,3
decide about the most exciting part of the book. being sure to give at least three reasons why?,BT5,decide about the most exciting part of the book. being sure to give at least three reasons why?,4
"As a civil engineer, you are planning the layout of a highway interchange to improve traffic flow and reduce congestion. Explain how you would apply traffic engineering principles and geometric design standards to optimize lane configurations and merge/diverge areas for safe and efficient traffic movement.",BT3,"as a civil engineer, you are planning the layout of a highway interchange to improve traffic flow and reduce congestion. explain how you would apply traffic engineering principles and geometric design standards to optimize lane configurations and merge/diverge areas for safe and efficient traffic movement.",2
"Consider you're optimizing the design of a centrifugal pump for water supply applications. Explain how you would perform performance mapping, impeller trimming, and casing redesign to improve pump efficiency and reliability.",BT2,"consider you're optimizing the design of a centrifugal pump for water supply applications. explain how you would perform performance mapping, impeller trimming, and casing redesign to improve pump efficiency and reliability.",1
How would you feel if . . .?,BT5,how would you feel if . . .?,4
"You are tasked with designing a sustainable urban drainage system for managing stormwater runoff in a rapidly growing city. Create a drainage system that incorporates green infrastructure such as rain gardens, bioswales, and permeable pavements to reduce runoff volumes, improve water quality, and enhance urban biodiversity, incorporating hydraulic modeling, GIS analysis, and cost-benefit analysis for effective stormwater management and urban planning.",BT6,"you are tasked with designing a sustainable urban drainage system for managing stormwater runoff in a rapidly growing city. create a drainage system that incorporates green infrastructure such as rain gardens, bioswales, and permeable pavements to reduce runoff volumes, improve water quality, and enhance urban biodiversity, incorporating hydraulic modeling, gis analysis, and cost-benefit analysis for effective stormwater management and urban planning.",5
"List FIVE (5) suggestions on how Malaysian public listed company director in Malaysia can perform  'Duty to use Reasonable Care, Skill & Diligence'. ",BT1,"list five (5) suggestions on how malaysian public listed company director in malaysia can perform  'duty to use reasonable care, skill & diligence'.",0
Propose a method for integrating natural language processing (NLP) techniques into virtual assistants to enable more conversational and context-aware interactions.,BT6,propose a method for integrating natural language processing (nlp) techniques into virtual assistants to enable more conversational and context-aware interactions.,5
Draw the TCA cycle.,BT1,draw the tca cycle.,0
Interpret the financial data to assess the company's performance.,BT2,interpret the financial data to assess the company's performance.,1
Imagine you are developing a video streaming platform. Describe how you would apply adaptive bitrate streaming techniques to optimize video playback quality based on users' network conditions and device capabilities.,BT3,imagine you are developing a video streaming platform. describe how you would apply adaptive bitrate streaming techniques to optimize video playback quality based on users' network conditions and device capabilities.,2
How can you generate creative ideas for an educational children's book?,BT6,how can you generate creative ideas for an educational children's book?,5
Convince your manager to adopt a flexible work schedule.,BT5,convince your manager to adopt a flexible work schedule.,4
Explain any four extrusion process variables with sketch.,BT1,explain any four extrusion process variables with sketch.,0
"Your organization is implementing a time series forecasting model for predicting stock prices. Compare the performance of traditional statistical models (e.g., ARIMA, SARIMA) versus deep learning models (e.g., LSTM, GRU) in capturing complex patterns and trends in financial time series data.",BT4,"your organization is implementing a time series forecasting model for predicting stock prices. compare the performance of traditional statistical models (e.g., arima, sarima) versus deep learning models (e.g., lstm, gru) in capturing complex patterns and trends in financial time series data.",3
"Consider you're optimizing the aerodynamic design of an aircraft wing. Describe how you would perform computational fluid dynamics (CFD) simulations to analyze airflow patterns, lift coefficients, and drag forces for different wing configurations.",BT2,"consider you're optimizing the aerodynamic design of an aircraft wing. describe how you would perform computational fluid dynamics (cfd) simulations to analyze airflow patterns, lift coefficients, and drag forces for different wing configurations.",1
Suggest TWO possible poultry breeds that Kaseem are breeding for Malaysia broiler industry. ,BT6,suggest two possible poultry breeds that kaseem are breeding for malaysia broiler industry.,5
Evaluate the potential environmental impacts of using biofuels for aviation and marine transportation.,BT3,evaluate the potential environmental impacts of using biofuels for aviation and marine transportation.,2
What hypotheses would you formulate for an environmental science experiment on pollution?,BT6,what hypotheses would you formulate for an environmental science experiment on pollution?,5
Can you remember the steps to perform CPR?,BT1,can you remember the steps to perform cpr?,0
Examine the data in the EMPLOYEES and DEPARTMENTS tables,BT4,examine the data in the employees and departments tables,3
"Discuss the principles of wastewater treatment processes, explaining unit operations such as sedimentation, filtration, and disinfection.",BT2,"discuss the principles of wastewater treatment processes, explaining unit operations such as sedimentation, filtration, and disinfection.",1
Explain Friction Circle Method with neat sketch.,BT2,explain friction circle method with neat sketch.,1
Let's discuss the challenges of sustainable agriculture.,BT2,let's discuss the challenges of sustainable agriculture.,1
Explain the three position synthesis of single slider mechanism by using inversion method.,BT1,explain the three position synthesis of single slider mechanism by using inversion method.,0
"structure, sorts the list in ascending order, displays the list on the screen and stores the list",BT6,"structure, sorts the list in ascending order, displays the list on the screen and stores the list",5
"Evaluate the effectiveness of different anti-malware techniques (e.g., signature-based scanning, behavior analysis, sandboxing) in detecting and preventing cyber threats.",BT4,"evaluate the effectiveness of different anti-malware techniques (e.g., signature-based scanning, behavior analysis, sandboxing) in detecting and preventing cyber threats.",3
Devise a system for automatically detecting and mitigating jamming attacks in wireless sensor networks deployed in hostile environments.,BT6,devise a system for automatically detecting and mitigating jamming attacks in wireless sensor networks deployed in hostile environments.,5
Define load factor and shape factor.,BT2,define load factor and shape factor.,1
"State any four assumptions in Boussinesq's theory. Mention the formula for calculation of stress in soil by point load and circular load byBoussinesqâs theory, with description of each term.",BT1,"state any four assumptions in boussinesq's theory. mention the formula for calculation of stress in soil by point load and circular load byboussinesqâs theory, with description of each term.",0
Select the relevant data points for a regression analysis.,BT4,select the relevant data points for a regression analysis.,3
Why surge tanks are used in hydro power plant?,BT1,why surge tanks are used in hydro power plant?,0
Write in detail mineral wealth of GONDWANA.,BT2,write in detail mineral wealth of gondwana.,1
Test the reliability of a new measurement instrument.,BT5,test the reliability of a new measurement instrument.,4
How can you generate creative ideas for a team-building workshop?,BT6,how can you generate creative ideas for a team-building workshop?,5
Enlist the steps of protein digestion and absorption in stomach and intestine.,BT1,enlist the steps of protein digestion and absorption in stomach and intestine.,0
Write short note AT commands required for GSM.,BT1,write short note at commands required for gsm.,0
Specify the need of final control element in process and explain globe and butterfly control valve in detail with neat sketch.,BT2,specify the need of final control element in process and explain globe and butterfly control valve in detail with neat sketch.,1
"Create a novel authentication mechanism for securing access to critical infrastructure systems, leveraging biometric and behavioral authentication techniques.",BT6,"create a novel authentication mechanism for securing access to critical infrastructure systems, leveraging biometric and behavioral authentication techniques.",5
List the advantages of using a flywheel in rotating machinery?,BT1,list the advantages of using a flywheel in rotating machinery?,0
How parameterized constructors get executed in multilevel inheritance?,BT4,how parameterized constructors get executed in multilevel inheritance?,3
"Given the data we've looked at on this topic, evaluate how appropriate this conclusion is and defend your answer.",BT5,"given the data we've looked at on this topic, evaluate how appropriate this conclusion is and defend your answer.",4
Explain the consideration of pricing objectives in marketing mix. ,BT2,explain the consideration of pricing objectives in marketing mix.,1
Classify frogs toads and other amphibians.,BT2,classify frogs toads and other amphibians.,1
In what ways do female offenders differ from male offenders,BT4,in what ways do female offenders differ from male offenders,3
"Interpret the concept of strain energy and its significance in mechanical design, discussing its relationship with material properties and deformation.",BT2,"interpret the concept of strain energy and its significance in mechanical design, discussing its relationship with material properties and deformation.",1
Estimate the risk of serious illness for consumers in different susceptible population groups,BT5,estimate the risk of serious illness for consumers in different susceptible population groups,4
Rank the key attributes of a successful leader.,BT5,rank the key attributes of a successful leader.,4
Explain the growth of boundary layer over a thin flat plate held parallel to the direction of flow in a real fluid.,BT2,explain the growth of boundary layer over a thin flat plate held parallel to the direction of flow in a real fluid.,1
"A symmetric I section of flanges 120 mm Ã 20 mm and web of thickness 20 mm and 100 mm depth, carrying uniformly distributed load ofmagnitude 80 kN/m over 4 m span. Calculate the maximum bendingcompressive stress.",BT3,"a symmetric i section of flanges 120 mm ã 20 mm and web of thickness 20 mm and 100 mm depth, carrying uniformly distributed load ofmagnitude 80 kn/m over 4 m span. calculate the maximum bendingcompressive stress.",2
Write short note on classifications and different types of antifriction bearings.,BT1,write short note on classifications and different types of antifriction bearings.,0
Identify the part of a eukaryotic cell.,BT1,identify the part of a eukaryotic cell.,0
Debate the ethical implications of using autonomous drones for package delivery and logistics.,BT5,debate the ethical implications of using autonomous drones for package delivery and logistics.,4
Design a sequential circuit using Mealy machine for detecting the sequence.,BT3,design a sequential circuit using mealy machine for detecting the sequence.,2
 List and explain TWO (2) advantages and THREE (3) disadvantages of economic growth. ,BT2,list and explain two (2) advantages and three (3) disadvantages of economic growth.,1
Develop a novel blockchain-based solution for ensuring the integrity and transparency of supply chain transactions across multiple organizations.,BT6,develop a novel blockchain-based solution for ensuring the integrity and transparency of supply chain transactions across multiple organizations.,5
State the iron deficiency diseases.,BT1,state the iron deficiency diseases.,0
Demonstrate the various types of chips formed during metal cutting.,BT1,demonstrate the various types of chips formed during metal cutting.,0
Design a novel data encryption scheme that ensures both security and efficiency in cloud storage environments.,BT6,design a novel data encryption scheme that ensures both security and efficiency in cloud storage environments.,5
Describe the taste of a perfectly ripe mango.,BT1,describe the taste of a perfectly ripe mango.,0
State and discuss the approach as prescribed in Malaysian Code on Corporate Governance (MCCG) 2017. ,BT2,state and discuss the approach as prescribed in malaysian code on corporate governance (mccg) 2017.,1
Can you create a flowchart diagram for a decision-making process in business?,BT4,can you create a flowchart diagram for a decision-making process in business?,3
What is the purpose of Leaky bucket and token bucket algorithms?,BT1,what is the purpose of leaky bucket and token bucket algorithms?,0
Enumerate the differences between a hub and a switch in terms of collision domains?,BT1,enumerate the differences between a hub and a switch in terms of collision domains?,0
Can you predict the outcome of a social trend based on historical patterns?,BT3,can you predict the outcome of a social trend based on historical patterns?,2
A cantilever of length 3 m carries a uniformly distributed load over the entire length.,BT3,a cantilever of length 3 m carries a uniformly distributed load over the entire length.,2
Provide a tabulated list of famous historical speeches and their speakers.,BT1,provide a tabulated list of famous historical speeches and their speakers.,0
Design a novel propulsion system for electric aircraft that combines battery-electric and hydrogen fuel cell technologies for extended range and endurance.,BT6,design a novel propulsion system for electric aircraft that combines battery-electric and hydrogen fuel cell technologies for extended range and endurance.,5
Explain the FOUR (4) roles of media during a crisis. Support your explanation with an appropriate example for each role. ,BT2,explain the four (4) roles of media during a crisis. support your explanation with an appropriate example for each role.,1
State the purposes of risk assessment. ,BT1,state the purposes of risk assessment.,0
Devise a system for automatically detecting and mitigating electromagnetic interference (EMI) in electronic devices and communication systems.,BT6,devise a system for automatically detecting and mitigating electromagnetic interference (emi) in electronic devices and communication systems.,5
Explain sequence of events that occur in Fetch cycle symbolically with diagram at each stage.,BT4,explain sequence of events that occur in fetch cycle symbolically with diagram at each stage.,3
Paraphrase the economic theory.,BT2,paraphrase the economic theory.,1
Explain in your own words what is meant by mercantilism.,BT2,explain in your own words what is meant by mercantilism.,1
What season are we in right now?,BT1,what season are we in right now?,0
Evaluate the feasibility of using artificial intelligence algorithms for automating routine tasks in IT service management and analyze potential benefits and drawbacks.,BT3,evaluate the feasibility of using artificial intelligence algorithms for automating routine tasks in it service management and analyze potential benefits and drawbacks.,2
Briefly explain the differences between and Langmuir-Blodgett (LB) monolayer and self-assembled monolayer (SAM). ,BT2,briefly explain the differences between and langmuir-blodgett (lb) monolayer and self-assembled monolayer (sam).,1
Write a C function to insert a node into a singly linked list.,BT3,write a c function to insert a node into a singly linked list.,2
Implement CMOS NAND Gate using pMOS and nMOS gates.,BT1,implement cmos nand gate using pmos and nmos gates.,0
"According to many researchers, market inefficiencies do exist in most of the stock markets in the world and also known as market anomalies. This situation is contradicted to market efficiency hypothesis. Describe SIX (6) market inefficiencies that commonly happen in the stock markets. ",BT2,"according to many researchers, market inefficiencies do exist in most of the stock markets in the world and also known as market anomalies. this situation is contradicted to market efficiency hypothesis. describe six (6) market inefficiencies that commonly happen in the stock markets.",1
Explain the memory write cycle with help of suitable timing diagram.,BT4,explain the memory write cycle with help of suitable timing diagram.,3
Explain the virtual memory.,BT1,explain the virtual memory.,0
A 75 mm diameter solid shaft is supported on end bearing 4 m apart.,BT3,a 75 mm diameter solid shaft is supported on end bearing 4 m apart.,2
Derive power in a wind and Environmental Impacts of Wind Turbines.,BT4,derive power in a wind and environmental impacts of wind turbines.,3
Can you name the capitals of five European countries?,BT1,can you name the capitals of five european countries?,0
Compose a rhythm or put new words to a known melody.,BT6,compose a rhythm or put new words to a known melody.,5
Interpret the concept of dimensional analysis and its applications in fluid mechanics and heat transfer.,BT2,interpret the concept of dimensional analysis and its applications in fluid mechanics and heat transfer.,1
Draw a comprehensive poster layout design for Visit Malaysia 2020 campaign. Provide a design rationale to support your idea. ,BT2,draw a comprehensive poster layout design for visit malaysia 2020 campaign. provide a design rationale to support your idea.,1
Select the appropriate variables for a factor analysis.,BT4,select the appropriate variables for a factor analysis.,3
Name  the different standards used for the Designation of Steels.,BT1,name  the different standards used for the designation of steels.,0
Find the driving point impedance Z11 (s) for the network shown in Fig. 10,BT3,find the driving point impedance z11 (s) for the network shown in fig. 10,2
Solve the physics problem involving electromagnetic induction.,BT3,solve the physics problem involving electromagnetic induction.,2
What steps are involved in composing an emotionally impactful piece of contemporary art?,BT6,what steps are involved in composing an emotionally impactful piece of contemporary art?,5
Analyze the beam shown in figure 1 by slope deflection method and draw B.,BT3,analyze the beam shown in figure 1 by slope deflection method and draw b.,2
Break down the main actions of the story.,BT4,break down the main actions of the story.,3
List and explain the FOUR (4) considerations when selecting a basement wall. ,BT2,list and explain the four (4) considerations when selecting a basement wall.,1
"Compare the environmental impact of different construction methods (e.g., traditional construction, modular construction, prefabrication) in terms of resource consumption and waste generation.",BT4,"compare the environmental impact of different construction methods (e.g., traditional construction, modular construction, prefabrication) in terms of resource consumption and waste generation.",3
With the help of diagram explain the main concept of solar thermal power plant?,BT4,with the help of diagram explain the main concept of solar thermal power plant?,3
State and explain superposition theorem.,BT2,state and explain superposition theorem.,1
Draw & describe TMOD register.,BT1,draw & describe tmod register.,0
What do you meant by retrofitting of concrete and explain use of fiber reinforced polymer concrete for retrofitting.,BT1,what do you meant by retrofitting of concrete and explain use of fiber reinforced polymer concrete for retrofitting.,0
Calculate the energy required to raise the temperature of a substance.,BT3,calculate the energy required to raise the temperature of a substance.,2
Determine whether the graphas G and H displayed in Figure are isomorphic or not?,BT4,determine whether the graphas g and h displayed in figure are isomorphic or not?,3
State the importance of finally blocks.,BT4,state the importance of finally blocks.,3
A soil mass is retained by a smooth backed vertical wall of 6 m height.,BT3,a soil mass is retained by a smooth backed vertical wall of 6 m height.,2
Differentiate between nucleotide and nucleoside.,BT4,differentiate between nucleotide and nucleoside.,3
Create a novel design for a lightweight composite material with tunable mechanical properties for use in aerospace and automotive applications.,BT6,create a novel design for a lightweight composite material with tunable mechanical properties for use in aerospace and automotive applications.,5
Find the inverse Laplace of given.,BT3,find the inverse laplace of given.,2
Identify the five major prophets of the Old Testament.,BT1,identify the five major prophets of the old testament.,0
"Discuss the principles of disaster recovery planning, explaining strategies for data backup, replication, and failover.",BT2,"discuss the principles of disaster recovery planning, explaining strategies for data backup, replication, and failover.",1
What is the difference between dielectric material and insulating material?,BT4,what is the difference between dielectric material and insulating material?,3
"Discuss the principles of time division multiplexing (TDM) in digital communication, explaining its advantages and limitations.",BT2,"discuss the principles of time division multiplexing (tdm) in digital communication, explaining its advantages and limitations.",1
What are main sources of Pollutants from Petrol engine?,BT1,what are main sources of pollutants from petrol engine?,0
Critically evaluate the role of artificial intelligence in autonomous vehicles and its potential impact on road safety and ethics.,BT3,critically evaluate the role of artificial intelligence in autonomous vehicles and its potential impact on road safety and ethics.,2
Explain Selection sort in ascending order using the following array.,BT3,explain selection sort in ascending order using the following array.,2
Explain the FIVE (5) stages of organizational conflict according to Pondy's (1967) model. ,BT2,explain the five (5) stages of organizational conflict according to pondy's (1967) model.,1
Design an innovative bridge structure that integrates renewable energy generation technologies such as solar panels or wind turbines to power nearby communities.,BT6,design an innovative bridge structure that integrates renewable energy generation technologies such as solar panels or wind turbines to power nearby communities.,5
Defend your stance on environmental sustainability.,BT5,defend your stance on environmental sustainability.,4
Evaluate  CF.,BT5,evaluate  cf.,4
Explain THREE (3) waves of globalisation. ,BT2,explain three (3) waves of globalisation.,1
Which are different file organization techniques?,BT1,which are different file organization techniques?,0
Model the behavior of predator-prey interactions in an ecosystem.,BT3,model the behavior of predator-prey interactions in an ecosystem.,2
Calculate the balance of trade when the economy is at equilibrium and interpret your answer. ,BT3,calculate the balance of trade when the economy is at equilibrium and interpret your answer.,2
What are the programming paradigms?,BT1,what are the programming paradigms?,0
"What is the definition of the word ""philanthropy""?",BT1,what is the definition of the word philanthropy?,0
How do you derive the equation for calculating the electric current in a circuit?,BT6,how do you derive the equation for calculating the electric current in a circuit?,5
Examine cross-docking warehouse layout. ,BT4,examine cross-docking warehouse layout.,3
"Contrast the principles of passive and active fire protection systems in building design, discussing their effectiveness in preventing fire spread and protecting occupants.",BT4,"contrast the principles of passive and active fire protection systems in building design, discussing their effectiveness in preventing fire spread and protecting occupants.",3
What strategies do you use to identify redundant information in a complex market research report?,BT4,what strategies do you use to identify redundant information in a complex market research report?,3
Explain with suitable example the techniques to represent a Graph.,BT1,explain with suitable example the techniques to represent a graph.,0
How can you use knowledge from chemistry and engineering to develop novel materials?,BT6,how can you use knowledge from chemistry and engineering to develop novel materials?,5
Compare the nutritional content of two different food products.,BT5,compare the nutritional content of two different food products.,4
A transmission line has a span of 220 m between level supports.,BT1,a transmission line has a span of 220 m between level supports.,0
"When dealing with complex scientific experiments, how do you understand their results?",BT2,"when dealing with complex scientific experiments, how do you understand their results?",1
"Invent a new method for improving the accuracy and reliability of indoor positioning systems using a combination of Wi-Fi, Bluetooth, and inertial sensors.",BT6,"invent a new method for improving the accuracy and reliability of indoor positioning systems using a combination of wi-fi, bluetooth, and inertial sensors.",5
Design a Francis turbine runner with the following data.,BT3,design a francis turbine runner with the following data.,2
"Briefly explain the income-consumption curve. With the aid of diagrams, derive income-consumption curve and Engel curve if there is an increase in income given that the good is an inferior good. Explain your answer by showing at least two bundles of goods in the diagrams.",BT2,"briefly explain the income-consumption curve. with the aid of diagrams, derive income-consumption curve and engel curve if there is an increase in income given that the good is an inferior good. explain your answer by showing at least two bundles of goods in the diagrams.",1
Draw the Circuit diagram for the following equations.,BT3,draw the circuit diagram for the following equations.,2
Support your argument on the effects of technology.,BT5,support your argument on the effects of technology.,4
Examine FIVE (5) advantages of using video as instructional materials to primary school students. ,BT4,examine five (5) advantages of using video as instructional materials to primary school students.,3
Tabulate the differences between a heap and a stack in memory allocation?,BT1,tabulate the differences between a heap and a stack in memory allocation?,0
Write short note on âThe Ostrich algorithmâ.,BT1,write short note on âthe ostrich algorithmâ.,0
How many states are there in USA,BT1,how many states are there in usa,0
Judge the effectiveness of a network access control (NAC) solution in securing network endpoints and enforcing security policies.,BT5,judge the effectiveness of a network access control (nac) solution in securing network endpoints and enforcing security policies.,4
List and explain THREE factors that are affecting microbial biodegradation rates of petroleum hydrocarbon. ,BT2,list and explain three factors that are affecting microbial biodegradation rates of petroleum hydrocarbon.,1
Select the appropriate variables for a chi-square test.,BT4,select the appropriate variables for a chi-square test.,3
List out the properties of Laplace Transform.,BT2,list out the properties of laplace transform.,1
Draw and explain interfacing diagram of ADC with 8051.,BT3,draw and explain interfacing diagram of adc with 8051.,2
What are Electroactive Polymers?,BT1,what are electroactive polymers?,0
"Explain the concept of distributed ledger technology (DLT), discussing its applications beyond cryptocurrencies, such as supply chain management and digital identity.",BT2,"explain the concept of distributed ledger technology (dlt), discussing its applications beyond cryptocurrencies, such as supply chain management and digital identity.",1
Discuss political risk in the Political-Legal Environment of the Host Country. ,BT2,discuss political risk in the political-legal environment of the host country.,1
"The speed (km/hr) of a train which starts from rest is given by the following table, the time being recorded in minutes.",BT3,"the speed (km/hr) of a train which starts from rest is given by the following table, the time being recorded in minutes.",2
A reaction turbine works at 450 r.,BT3,a reaction turbine works at 450 r.,2
Explain the process of ecological succession.,BT2,explain the process of ecological succession.,1
Critique the performance of a carrier aggregation technique in aggregating multiple LTE carriers for higher data rates in mobile networks.,BT5,critique the performance of a carrier aggregation technique in aggregating multiple lte carriers for higher data rates in mobile networks.,4
Given the Laplace transform of.,BT3,given the laplace transform of.,2
List FOUR (4) general requirements for floor finishes. ,BT1,list four (4) general requirements for floor finishes.,0
Explain FPGA architecture.,BT2,explain fpga architecture.,1
How would you classify the different forms of renewable energy?,BT4,how would you classify the different forms of renewable energy?,3
Imagine you're developing a mobile application for real-time navigation. Explain how you would integrate GPS technology with mapping APIs to provide turn-by-turn directions and traffic updates to users.,BT2,imagine you're developing a mobile application for real-time navigation. explain how you would integrate gps technology with mapping apis to provide turn-by-turn directions and traffic updates to users.,1
Which is operator overloading?,BT1,which is operator overloading?,0
Convert the following infix expressions to prefix expressions using stock.,BT3,convert the following infix expressions to prefix expressions using stock.,2
Plan a distributed computing framework for processing large-scale scientific datasets across multiple heterogeneous computing nodes.,BT6,plan a distributed computing framework for processing large-scale scientific datasets across multiple heterogeneous computing nodes.,5
What is the necessity of ventilation and explain types of ventilation?,BT2,what is the necessity of ventilation and explain types of ventilation?,1
Draw RC coupled amplifier.,BT1,draw rc coupled amplifier.,0
Write a python program to create a linked list and perform operations on the list.,BT3,write a python program to create a linked list and perform operations on the list.,2
Construct an AVL Tree by inserting numbers from 1 to 8.,BT3,construct an avl tree by inserting numbers from 1 to 8.,2
How does autonomy differ with age,BT4,how does autonomy differ with age,3
Explain how soil acts as a geochemical trap and state the various remediation techniques.,BT2,explain how soil acts as a geochemical trap and state the various remediation techniques.,1
Discuss issues of defining âweedsâ. ,BT2,discuss issues of defining âweedsâ.,1
Consider you're designing a wireless sensor network for environmental monitoring. Explain how you would select suitable communication protocols and energy-efficient routing algorithms to prolong network lifetime and data reliability.,BT2,consider you're designing a wireless sensor network for environmental monitoring. explain how you would select suitable communication protocols and energy-efficient routing algorithms to prolong network lifetime and data reliability.,1
Examine the purpose of SSL/TLS certificates in secure web communication?,BT1,examine the purpose of ssl/tls certificates in secure web communication?,0
"Evaluate the impact of different caching strategies (e.g., write-through, write-behind, cache-aside) on reducing latency and improving data access speed in web applications.",BT4,"evaluate the impact of different caching strategies (e.g., write-through, write-behind, cache-aside) on reducing latency and improving data access speed in web applications.",3
Shareholder activism is an important governance mechanism because this is how minority shareholders exercise and enforce their rights. Comment on the effectiveness of shareholder activism. ,BT5,shareholder activism is an important governance mechanism because this is how minority shareholders exercise and enforce their rights. comment on the effectiveness of shareholder activism.,4
Explain any three methods for synthesis of Furan.,BT1,explain any three methods for synthesis of furan.,0
Describe the economic consequence of a neolocal society. Support your description with information you have learned from this course.,BT5,describe the economic consequence of a neolocal society. support your description with information you have learned from this course.,4
Enlist any four types of flooring.,BT1,enlist any four types of flooring.,0
"Contrast the principles of synchronous and asynchronous programming models in concurrent software development, discussing their impact on scalability and responsiveness.",BT4,"contrast the principles of synchronous and asynchronous programming models in concurrent software development, discussing their impact on scalability and responsiveness.",3
State the four different bias modes of a BJT and explain how they are obtained. ,BT2,state the four different bias modes of a bjt and explain how they are obtained.,1
"Solve, ()( )( ) 26 19 2 ,kfk fk fk++ + + =  if () ( )01 0ff == .",BT3,"solve, ()( )( ) 26 19 2 ,kfk fk fk++ + + =  if () ( )01 0ff == .",2
